routeid,stand1,stand2,stand3,stand4,stand5,stand6
113EXTDOWN_DTC,"['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']","['temp_4752', 'Prehladpur Village', 'temp_4752', 'Prehladpur Village']",,,,
113EXTUP_DTC,"['temp_5018', 'DSIDC Office Bawana', 'temp_7999', 'DSIDC Office Bawana']",,,,,
113UP_DTC,"['1917', 'DSIDC Office Bawana', 'temp_7999', 'DSIDC Office Bawana']",,,,,
114AUP_DTC,"['414', 'Karala Village', '3633', 'Karala Village']",,,,,
114DOWN_DTC,"['414', 'Karala Village', '974', 'Karala Village']",,,,,
114UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
115DOWN_DTC,"['2533', 'Nimri Colony', '2533', 'Nimri Colony']",,,,,
115UP_DTC,"['2731', 'Nimri Colony', '2731', 'Nimri Colony']",,,,,
116DOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
116UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
120BDOWN_DTC,"['961', 'LNJP Hospital', '961', 'LNJP Hospital']",,,,,
120BUP_DTC,"['1034', 'Vivekanand Marg / Minto Road', '1034', 'Vivekanand Marg / Minto Road']","['2917', 'Model Town II', '2917', 'Model Town II']",,,,
120UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
130DOWN_DTC,"['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']","['1922', 'Barwala Village', 'temp_4756', 'Barwala Village']","['2696', 'Rohini Sec 16 (Maharaja Aggarsen Dharam Sthal)', '2696', 'Rohini Sec 16 (Maharaja Aggarsen Dharam Sthal)']",,,
130UP_DTC,"['3435', 'Rohini Sec 16 (Maharaja Aggarsen Dharam Sthal)', '2696', 'Rohini Sec 16 (Maharaja Aggarsen Dharam Sthal)']","['temp_7357', 'Barwala Village', 'temp_4756', 'Barwala Village']",,,,
131DOWN_DTC,"['0', 'Narela Terminal', '0', 'Narela Terminal']",,,,,
131UP_DTC,"['temp_8056', 'Sec A 5 Crossing Narela', '1592', 'Sec A 5 Crossing Narela']",,,,,
133UP_DTC,"['temp_4909', 'Sultan Pur Crossing / Poothkhurd', 'temp_4909', 'Sultan Pur Crossing / Poothkhurd']",,,,,
135DOWN_DTC,"['temp_4533', 'ITO', '134', 'ITO']",,,,,
135UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
136UP_DTC,"['temp_8056', 'Sec A 5 Crossing Narela', '1592', 'Sec A 5 Crossing Narela']",,,,,
146UP_DTC,"['temp_7843', 'Bakhtawar Pur Garhi', '1204', 'Bakhtawar Pur Garhi']",,,,,
148DOWN_DTC,"['temp_4703', 'Guru Govind Singh University (Kashmere Gate)', '109', 'Guru Govind Singh University (Kashmere Gate)']",,,,,
148UP_DTC,"['temp_4336', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
149DOWN_DTC,"['temp_7843', 'Bakhtawar Pur Garhi', 'temp_4920', 'Bakhtawar Pur Garhi']","['temp_4703', 'Guru Govind Singh University (Kashmere Gate)', 'temp_7381', 'Guru Govind Singh University (Kashmere Gate)']",,,,
149UP_DTC,"['temp_4336', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']","['temp_7843', 'Bakhtawar Pur Garhi', '1204', 'Bakhtawar Pur Garhi']",,,,
157DOWN_DTC,"['2532', 'Wazir Pur JJ Colony', '2532', 'Wazir Pur JJ Colony']","['2533', 'Nimri Colony', '2533', 'Nimri Colony']",,,,
157UP_DTC,"['3419', 'Begumpur (Malviya Nagar)', '852', 'Begumpur (Malviya Nagar)']","['1866', 'Gulabi Bagh', '678', 'Gulabi Bagh']","['temp_4973', 'Nimri Colony', 'temp_4973', 'Nimri Colony']","['2732', 'Wazirpur JJ Colony', '2732', 'Wazirpur JJ Colony']",,
159DOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']","['1770', 'Moti Nagar Industrial Area', '1771', 'Moti Nagar Industrial Area']",,,,
160DOWN_DTC,"['3935', 'Telephone Exchange Karol Bagh', '1108', 'Telephone Exchange Karol Bagh']",,,,,
162DOWN_DTC,"['temp_7843', 'Bakhtawar Pur Garhi', 'temp_4920', 'Bakhtawar Pur Garhi']",,,,,
163DOWN_DTC,"['temp_4997', 'Gopal Pur Xing', 'temp_4997', 'Gopal Pur Xing']","['temp_4363', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']",,,,
165ADOWN_DTC,"['temp_4997', 'Gopal Pur Xing', 'temp_4997', 'Gopal Pur Xing']",,,,,
165DOWN_DTC,"['temp_4997', 'Gopal Pur Xing', 'temp_4997', 'Gopal Pur Xing']",,,,,
166DOWN_DTC,"['2525', 'Wazir Pur Industrial Area/ Ashok Vihar Crossing', 'temp_8146', 'Wazir Pur Industrial Area/ Ashok Vihar Crossing']",,,,,
169DOWN_DTC,"['temp_4761', 'DSIDC Bawana/ Dhakewala', 'temp_4761', 'DSIDC Bawana/ Dhakewala']","['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,
169UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
171DOWN_DTC,"['961', 'LNJP Hospital', '961', 'LNJP Hospital']",,,,,
173UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']","['temp_8056', 'Sec A 5 Crossing Narela', 'temp_7199', 'Sec A 5 Crossing Narela']",,,,
174STLUP_DTC,"['414', 'Karala Village', '3633', 'Karala Village']",,,,,
175DOWN_DTC,"['24', 'Libas Pur GT Road', '24', 'Libas Pur GT Road']",,,,,
175UP_DTC,"['temp_4727', 'Holambi Kalan Crossing', 'temp_4727', 'Holambi Kalan Crossing']",,,,,
178DOWN_DTC,"['temp_4721', 'Bdo Office', 'temp_4721', 'Bdo Office']",,,,,
17DOWN_DTC,"['928', 'Bakhtawar Pur Garhi', 'temp_4920', 'Bakhtawar Pur Garhi']",,,,,
17UP_DTC,"['temp_7843', 'Bakhtawar Pur Garhi', '1204', 'Bakhtawar Pur Garhi']",,,,,
181ADOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']","['2533', 'Nimri Colony', '2533', 'Nimri Colony']",,,,
181AUP_DTC,"['temp_4973', 'Nimri Colony', 'temp_4973', 'Nimri Colony']",,,,,
181DOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
181UP_DTC,"['3419', 'Begumpur (Malviya Nagar)', '852', 'Begumpur (Malviya Nagar)']",,,,,
182AUP_DTC,"['414', 'Karala Village', '3633', 'Karala Village']",,,,,
185DOWN_DTC,"['3345', 'GTB Nagar / Haqiqat Nagar', '194', 'GTB Nagar / Haqiqat Nagar']",,,,,
185UP_DTC,"['3345', 'GTB Nagar / Haqiqat Nagar', '827', 'GTB Nagar / Haqiqat Nagar']",,,,,
188DOWN_DTC,"['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']","['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']","['temp_4752', 'Prehladpur Village', 'temp_4752', 'Prehladpur Village']","['temp_4997', 'Gopal Pur Xing', 'temp_4997', 'Gopal Pur Xing']",,
188UP_DTC,"['temp_7357', 'Barwala Village', 'temp_4756', 'Barwala Village']","['1912', 'Bawana Depot', '1313', 'Bawana Depot']",,,,
191DOWN_DTC,"['1912', 'Bawana Depot', '1313', 'Bawana Depot']","['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']",,,,
191UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']","['temp_5018', 'DSIDC Office Bawana', 'temp_7999', 'DSIDC Office Bawana']","['1912', 'Bawana Depot', '1313', 'Bawana Depot']",,,
192UP_DTC,"['temp_7980', 'Sarvodhya Vidhyalay Burari', '1627', 'Sarvodhya Vidhyalay Burari']",,,,,
193UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
194DOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
194UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
19ADOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
19BDOWN_DTC,"['temp_4336', 'Jahangir Puri Metro Station', 'temp_4336', 'Jahangir Puri Metro Station']",,,,,
19UP_DTC,"['2721', 'Udyog Bhawan', '2323', 'Udyog Bhawan']",,,,,
205DOWN_DTC,"['temp_5109', 'Zafrabad School', 'temp_5109', 'Zafrabad School']","['temp_5135', 'Seelampur Metro Station', '781', 'Seelampur Metro Station']",,,,
205UP_DTC,"['temp_5109', 'Zafrabad School', '3597', 'Zafrabad School']",,,,,
211BUP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']",,,,,
211DOWN_DTC,"['1606', 'Hasanpur Village', 'temp_8200', 'Hasanpur Village']",,,,,
211UP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']",,,,,
212DOWN_DTC,"['1750', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']",,,,,
213AUP_DTC,"['temp_5109', 'Zafrabad School', '3597', 'Zafrabad School']",,,,,
213DOWN_DTC,"['1750', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']",,,,,
213UP_DTC,"['56', 'Seelampur Metro Station', 'temp_5135', 'Seelampur Metro Station']","['temp_5109', 'Zafrabad School', '3597', 'Zafrabad School']",,,,
214DOWN_DTC,"['temp_4703', 'Guru Govind Singh University (Kashmere Gate)', 'temp_7381', 'Guru Govind Singh University (Kashmere Gate)']",,,,,
218DOWN_DTC,"['56', 'Seelampur Metro Station', 'temp_5135', 'Seelampur Metro Station']",,,,,
218UP_DTC,"['temp_5135', 'Seelampur Metro Station', '781', 'Seelampur Metro Station']",,,,,
219STLDOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
219STLUP_DTC,"['1500', 'Nangloi JJ Colony Lokesh Cinema', 'temp_5204', 'Nangloi JJ Colony Lokesh Cinema']","['1903', 'Mile Stone / Shiv Shankar Dharam Kanta', '1903', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,
227AUP_DTC,"['temp_8223', 'SBS Colony Karawal Nagar Pusta Road Gali 4', 'temp_5221', 'SBS Colony Karawal Nagar Pusta Road Gali 4']",,,,,
234ADOWN_DTC,"['3111', 'DCM Chemical', '3111', 'DCM Chemical']",,,,,
234AUP_DTC,"['1859', 'DCM Chemical', '1859', 'DCM Chemical']",,,,,
234DOWN_DTC,"['3111', 'DCM Chemical', '3111', 'DCM Chemical']",,,,,
234UP_DTC,"['1859', 'DCM Chemical', '1859', 'DCM Chemical']",,,,,
235DOWN_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']","['2525', 'Wazir Pur Industrial Area/ Ashok Vihar Crossing', 'temp_8146', 'Wazir Pur Industrial Area/ Ashok Vihar Crossing']",,,,
236EXTDOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
236EXTUP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']",,,,,
247UP_DTC,"['414', 'Karala Village', '3633', 'Karala Village']",,,,,
254DOWN_DTC,"['temp_4997', 'Gopal Pur Xing', 'temp_4997', 'Gopal Pur Xing']","['1887', 'C 4 Yamuna Vihar', '1887', 'C 4 Yamuna Vihar']",,,,
254UP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']","['temp_5204', 'Nangloi JJ Colony Lokesh Cinema', 'temp_5204', 'Nangloi JJ Colony Lokesh Cinema']",,,,
258DOWN_DTC,"['4098', 'Gurudwara Nanak Sar', '4098', 'Gurudwara Nanak Sar']",,,,,
258SPLDOWN_DTC,"['206', 'Pusta No 2 Sonia Vihar', '4096', 'Pusta No 2 Sonia Vihar']","['4098', 'Gurudwara Nanak Sar', 'temp_8129', 'Gurudwara Nanak Sar']",,,,
258SPLUP_DTC,"['206', 'Pusta No 2 Sonia Vihar', '4096', 'Pusta No 2 Sonia Vihar']",,,,,
258UP_DTC,"['819', 'Exchange Store / Civil Lines Metro Station', '819', 'Exchange Store / Civil Lines Metro Station']","['204', 'Gurudwara Nanak Sar', '204', 'Gurudwara Nanak Sar']",,,,
261DOWN_DTC,"['1750', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']","['447', 'Nizamuddin Road Bridge', '447', 'Nizamuddin Road Bridge']",,,,
273DOWN_DTC,"['961', 'LNJP Hospital', '961', 'LNJP Hospital']",,,,,
274DOWN_DTC,"['2980', 'Supreme Court', '2980', 'Supreme Court']",,,,,
274UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['temp_5701', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
